id,marca
1,aguara
2,ajedrez
3,almadre
4,andino
5,biba
6,celienergy
7,chocoleit
8,cocoon
9,copani
10,dale coco
11,dec
12,deli & raw
13,demeter el pampa
14,don paisa
15,doña magdalena
16,dr cacao
17,dulce del jardín
18,epicos
19,familia cecchin
20,fidel
21,for good
22,frutos del norte
23,gell singh
24,genser
25,god bless you
26,grün
27,heredia
28,homemade
29,isla xocolatl
30,jesper
31,jual
32,kyojin
33,la palma
34,laddubar
35,madame vegetal
36,maple
37,marita
38,mathienzo
39,mayda
40,molé
41,naturals
42,neptune
43,nuestros sabores
44,organikal
45,pampas rice
46,pittier pan
47,roapipó
48,schatzi
49,semillas gauchas
50,sol de acuario
51,sturla
52,tres semillas
53,vrink
54,wakas